date,lati,longi,flag,name
2015-01-26,37.7837,-122.433,0,view
2014-12-24,37.7837,-122.433,0,view
2015-01-26,37.7837,-122.433,0,view
2015-01-25,37.7837,-122.433,0,view
2014-12-17,37.7837,-122.433,0,view
2015-02-13,37.7837,-122.433,0,view
2015-02-08,37.7837,-122.433,0,view
2014-12-17,37.7837,-122.433,0,view
2015-02-25,37.7837,-122.433,0,view
2015-01-05,37.7837,-122.433,0,view
2015-02-12,37.7837,-122.433,0,view
2015-02-17,37.7837,-122.433,0,view
2015-02-12,37.7837,-122.433,0,view
2014-12-03,37.7837,-122.433,0,view
2015-02-16,37.7837,-122.433,0,view
2014-12-03,37.7837,-122.433,0,view
2015-02-23,37.7837,-122.433,0,view
2015-01-15,37.7837,-122.433,0,view
2015-02-03,37.7837,-122.433,0,view
2015-01-23,37.7837,-122.433,0,view
2015-01-10,37.7837,-122.433,0,view
2015-01-10,37.7837,-122.433,0,view
2015-01-08,37.7837,-122.433,0,view
2015-01-29,37.7837,-122.433,0,view
2014-12-22,37.7837,-122.433,0,view
2014-12-17,37.7837,-122.433,0,view
2014-12-27,37.7837,-122.433,1,view
2015-02-20,37.7837,-122.433,0,view
2015-01-12,37.7837,-122.433,0,view
2014-12-05,37.7837,-122.433,0,view
2015-02-18,37.7837,-122.433,0,view
2015-02-15,37.7837,-122.433,0,view
2015-02-10,37.7837,-122.433,0,view
2015-02-09,37.7837,-122.433,0,view
2015-02-13,37.7837,-122.433,0,view
2015-02-15,37.7837,-122.433,0,view
2015-02-15,37.7837,-122.433,0,view
2015-02-04,37.7837,-122.433,0,view
2015-02-17,37.7837,-122.433,0,view
2014-12-03,37.7837,-122.433,0,view
2015-01-06,37.7837,-122.433,0,view
2015-01-28,37.7837,-122.433,0,view
2015-01-23,37.7837,-122.433,0,view
2014-12-03,37.7837,-122.433,0,view
2015-02-05,37.7837,-122.433,0,view
2015-01-08,37.7837,-122.433,0,view
2015-01-15,37.7837,-122.433,0,view
2015-02-01,37.7837,-122.433,0,view
2014-12-24,37.7837,-122.433,0,view
2015-01-21,37.7837,-122.433,0,view
2015-01-02,37.7837,-122.433,0,view
2015-02-01,37.7837,-122.433,0,view
2015-01-04,37.7837,-122.433,0,view
2015-01-28,37.7837,-122.433,0,view
2014-12-08,37.7837,-122.433,0,view
2015-02-22,37.7837,-122.433,0,view
2015-02-12,37.7837,-122.433,0,view
2014-12-30,37.7837,-122.433,0,view
2014-12-20,37.7837,-122.433,0,view
2014-12-04,37.7837,-122.433,0,view
2015-01-28,37.7837,-122.433,0,view
2015-01-01,37.7837,-122.433,0,view
2014-12-08,37.7837,-122.433,0,view
2015-01-10,37.7837,-122.433,0,view
2015-02-14,37.7837,-122.433,0,view
2015-02-11,37.7837,-122.433,0,view
2014-12-01,37.7837,-122.433,0,view
2015-02-04,37.7837,-122.433,0,view
2014-12-30,37.7837,-122.433,0,view
2015-01-22,37.7837,-122.433,0,view
2014-12-05,37.7837,-122.433,0,view
2015-01-31,37.7837,-122.433,0,view
2015-01-27,37.7837,-122.433,0,view
2015-01-29,37.7837,-122.433,0,view
2015-01-26,37.7837,-122.433,0,view
2015-01-22,37.7837,-122.433,0,view
2015-01-12,37.7837,-122.433,0,view
2015-01-25,37.7837,-122.433,0,view
2015-03-01,37.7837,-122.433,0,view
2014-12-08,37.7837,-122.433,0,view
2014-12-11,37.7837,-122.433,0,view
2015-01-22,37.7837,-122.433,0,view
2015-01-13,37.7837,-122.433,0,view
2015-01-11,37.7837,-122.433,0,view
2014-12-15,37.7837,-122.433,0,view
2015-02-04,37.7837,-122.433,0,view
2015-01-14,37.7837,-122.433,0,view
2015-01-10,37.7837,-122.433,0,view
2015-01-14,37.7837,-122.433,0,view
2015-02-13,37.7837,-122.433,0,view
2014-12-05,37.7837,-122.433,0,view
2014-12-09,37.7837,-122.433,0,view
2014-12-30,37.7837,-122.433,0,view
2015-02-01,37.7837,-122.433,0,view
2014-12-03,37.7837,-122.433,0,view
2015-01-22,37.7837,-122.433,0,view
2015-01-15,37.7837,-122.433,0,view
2015-01-15,37.7837,-122.433,0,view
2015-01-12,37.7837,-122.433,0,view
2014-12-11,37.7837,-122.433,0,view
2015-01-13,37.7783,-122.397,0,view
2015-01-02,37.7723,-122.429,0,view
2015-02-28,37.7981,-122.419,0,view
2015-02-23,37.7981,-122.419,0,view
2015-02-22,37.7981,-122.419,0,view
2015-01-30,37.7981,-122.419,0,view
2015-02-01,37.7981,-122.419,0,view
2015-02-16,37.7981,-122.419,0,view
2015-02-16,37.7981,-122.419,0,view
2015-01-03,37.7981,-122.419,0,view
2015-02-24,37.7981,-122.419,0,view
2015-02-14,37.7981,-122.419,0,view
2015-01-28,37.7981,-122.419,0,view
2015-01-22,37.7981,-122.419,0,view
2015-02-15,37.7981,-122.419,0,view
2015-01-25,37.7981,-122.419,0,view
2015-02-20,37.7981,-122.419,0,view
2015-01-12,37.7981,-122.419,0,view
2014-12-16,37.7981,-122.419,0,view
2015-01-16,37.7981,-122.419,0,view
2015-02-27,37.7981,-122.419,0,view
2014-12-20,37.7981,-122.419,0,view
2014-12-19,37.7981,-122.419,0,view
2015-02-26,37.7981,-122.419,0,view
2015-02-06,37.7981,-122.419,0,view
2015-01-26,37.7981,-122.419,0,view
2015-01-25,37.7981,-122.419,0,view
2015-01-17,37.7981,-122.419,0,view
2015-02-09,37.7981,-122.419,0,view
2014-12-29,37.7981,-122.419,0,view
2015-01-11,37.7981,-122.419,0,view
2015-01-22,37.7981,-122.419,0,view
2015-01-05,37.7981,-122.419,0,view
2014-12-07,37.7981,-122.419,0,view
2014-12-03,37.7981,-122.419,0,view
2015-01-11,37.7981,-122.419,0,view
2014-12-02,37.7981,-122.419,0,view
2014-12-01,37.7981,-122.419,0,view
2015-02-08,37.7981,-122.419,0,view
2015-01-31,37.7981,-122.419,0,view
2015-02-25,37.7981,-122.419,0,view
2015-01-29,37.7981,-122.419,0,view
2014-12-12,37.7981,-122.419,0,view
2015-01-25,37.7981,-122.419,0,view
2015-01-27,37.7981,-122.419,0,view
2014-12-14,37.7981,-122.419,0,view
2015-01-29,37.7981,-122.419,0,view
2015-01-18,37.7981,-122.419,0,view
